job_id,job_title,salary_year_avg,company_name
226942,Data Analyst,650000.0,Mantys
209315,Data base administrator,400000.0,ЛАНИТ
641501,Head of Infrastructure Management & Data Analytics - Financial...,375000.0,"Citigroup, Inc"
1110602,"HC Data Analyst , Senior",375000.0,Illuminate Mission Solutions
229253,Director of Safety Data Analysis,375000.0,Torc Robotics
1147675,Sr Data Analyst,375000.0,Illuminate Mission Solutions
101757,Head of Data Analytics,350000.0,Care.com
1059665,Data Analyst,350000.0,Anthropic
547382,Director of Analytics,336500.0,Meta
894135,Research Scientist,285000.0,OpenAI
