skills,demand_count,avg_salary
sql,3083,96435
excel,2143,86419
python,1840,101512
tableau,1659,97978
r,1073,98708
power bi,1044,92324
sas,1000,93707
word,527,82941
powerpoint,524,88316
sql server,336,96191
oracle,332,100964
azure,319,105400
aws,291,106440
go,288,97267
flow,271,98020
looker,260,103855
snowflake,241,111578
spss,212,85293
spark,187,113002
vba,185,93845
sap,183,92446
outlook,180,80680
sharepoint,174,89027
sheets,155,84130
javascript,153,91805
jira,145,107931
hadoop,140,110888
java,135,100214
ssrs,129,91537
alteryx,124,105580
nosql,108,108331
databricks,102,112881
ssis,102,97235
qlik,100,100933
spreadsheet,100,78466
visio,99,101036
express,96,108221
pandas,90,110767
redshift,90,107969
matlab,89,99909
c,89,98715
bigquery,84,105238
windows,80,86513
gcp,78,113065
crystal,76,87327
dax,75,99549
git,74,112250
airflow,71,116387
mysql,71,101381
c#,71,97248
c++,68,105696
cognos,66,90407
ms access,65,84873
confluence,62,114153
t-sql,60,95723
scala,59,115480
github,59,101498
linux,58,114883
html,55,84383
numpy,54,107398
mongodb,52,113608
pyspark,49,114058
terminal,46,83567
shell,44,111496
postgresql,44,106853
kafka,40,129999
microstrategy,39,94486
visual basic,39,86972
db2,38,107130
unix,37,111123
jupyter,37,103522
gdpr,33,105329
powershell,32,105041
matplotlib,31,99307
css,30,85317
